,index,name,location,year,millage,fuel_type,gears,owners,mpg,engine_size,power,seats,new_price,sale_price,wear_factor
3422,3422,Hyundai Santro Xing GLS,Hyderabad,2008,80931,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,2.3,0.01598463327610396
3423,3423,Maruti Swift ZXI,Kolkata,2016,34000,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,4.95,0.028468138348075604
3424,3424,Renault Scala Diesel RxL,Hyderabad,2013,130000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,4.75,0.04383940979666552
3425,3425,Maruti Vitara Brezza ZDi Plus,Coimbatore,2018,52380,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,12.47 Lakh,10.15,0.03497124303882008
3426,3426,Nissan Micra XV,Kolkata,2011,44000,Petrol,Manual,First,18.06 kmpl,1198 CC,75 bhp,5.0,,2.65,0.09860299516714664
3427,3427,Ford Figo Diesel EXI,Hyderabad,2015,84000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,3.8,0.03260286675500976
3428,3428,Honda CR-V 2.0 AT,Kochi,2017,41697,Petrol,Automatic,First,13.1 kmpl,1997 CC,141.1 bhp,5.0,,16.68,0.05310393585935277
3429,3429,Nissan Terrano XV 110 PS,Pune,2014,163000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5.0,,5.0,0.10334109197253932
3430,3430,Toyota Etios Liva 1.2 G,Chennai,2011,42000,Petrol,Manual,Second,17.71 kmpl,1197 CC,78.9 bhp,5.0,6.51 Lakh,3.75,0.0104762552447194
3431,3431,Hyundai i20 Asta 1.4 CRDi,Jaipur,2013,129000,Diesel,Manual,Third,21.27 kmpl,1396 CC,88.76 bhp,5.0,,4.11,0.07855549688983612
3432,3432,Ford Figo Aspire 1.2 Ti-VCT Ambiente,Chennai,2015,32200,Petrol,Manual,Second,18.16 kmpl,1196 CC,86.8 bhp,5.0,,4.25,0.0757248178202282
3433,3433,Mitsubishi Pajero 2.8 GLX CRZ,Mumbai,2004,129000,Diesel,Manual,First,10.5 kmpl,2835 CC,107.2 bhp,6.0,,3.45,0.10528107426642755
3434,3434,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,40000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,22.5,0.08208024772839828
3435,3435,Toyota Innova 2.0 E,Delhi,2006,150000,Petrol,Manual,First,12.4 kmpl,1998 CC,132 bhp,8.0,,4.5,0.05675605884132938
3436,3436,Chevrolet Aveo U-VA 1.2 LS,Jaipur,2007,140000,Petrol,Manual,First,15.26 kmpl,1150 CC,74.9 bhp,5.0,,0.9,0.04643854473224529
3437,3437,Hyundai Getz GLS,Hyderabad,2006,63181,Petrol,Manual,First,15.3 kmpl,1341 CC,83 bhp,5.0,,1.85,0.013909770272683343
3438,3438,Honda Amaze S i-Dtech,Kolkata,2013,39575,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.25,0.008012941393909196
3439,3439,Maruti Swift VDI BSIV W ABS,Pune,2010,63600,Diesel,Manual,Second,17.8 kmpl,1248 CC,null bhp,5.0,,3.1,0.02087510317459335
3440,3440,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2014,70374,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,7.34,0.010925818330675697
3441,3441,Volkswagen CrossPolo 1.5 TDI,Kolkata,2015,26256,Diesel,Manual,First,20.14 kmpl,1498 CC,88.5 bhp,5.0,,4.25,0.06047362208194685
3442,3442,Hyundai Elite i20 Petrol Sportz,Delhi,2016,13460,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,,6.45,0.08331729305336322
3443,3443,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2011,122000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,10.75,0.06297352309538712
3444,3444,Mercedes-Benz M-Class ML 250 CDI,Kolkata,2015,58589,Diesel,Automatic,First,15.26 kmpl,2143 CC,203.2 bhp,5.0,,27.75,0.08046145122027464
3445,3445,Maruti Wagon R LX BSIII,Jaipur,2005,115000,Petrol,Manual,Second,17.3 kmpl,1061 CC,64 bhp,5.0,,0.99,0.0619709805298759
3446,3446,Ford Endeavour 2.2 Trend AT 4X2,Pune,2016,75000,Diesel,Automatic,First,,2198 CC,158 bhp,7.0,,24.0,0.0553566554652646
3447,3447,Hyundai Elite i20 Petrol Sportz,Jaipur,2016,30292,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,,6.1,0.087677113101974
3448,3448,Honda WRV i-VTEC VX,Ahmedabad,2017,32248,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.32 Lakh,8.25,0.08429581955262772
3449,3449,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2013,74000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,4.65,0.05357446979745481
3450,3450,Honda CR-V 2.0L 2WD MT,Mumbai,2014,56100,Petrol,Manual,First,13.7 kmpl,1997 CC,153.86 bhp,5.0,,9.75,0.04571475490790369
3451,3451,Hyundai Grand i10 1.2 Kappa Asta,Bangalore,2014,61325,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,8.1 Lakh,4.4,0.05006447247146649
3452,3452,Maruti Swift Dzire VXI,Kolkata,2014,33000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,3.99,0.05037663940890812
3453,3453,BMW 5 Series 2003-2012 530d,Coimbatore,2016,18090,Diesel,Automatic,First,16.2 kmpl,2993 CC,258 bhp,5.0,,45.73,0.004069888158732928
3454,3454,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,71390,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.27,0.06750954585303183
3455,3455,Maruti Wagon R LXI CNG,Mumbai,2014,41000,unknown,Manual,First,26.2 km/kg,998 CC,58.2 bhp,5.0,,3.5,0.0202561955296821
3456,3456,Honda City i DTec V,Ahmedabad,2016,67000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.25,0.07636983168434974
3457,3457,Tata Indigo LS,Chennai,2008,99000,Diesel,Manual,Second,17.0 kmpl,1405 CC,70 bhp,5.0,,1.6,0.0965261101268678
3458,3458,Renault Duster 110PS Diesel RxL,Pune,2014,142000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.0,0.029179314023663847
3459,3459,Hyundai i10 Sportz,Chennai,2010,26966,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.0,0.06381673597081192
3460,3460,Honda Jazz 1.2 SV i VTEC,Mumbai,2015,27628,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,4.95,0.052085502861108614
3461,3461,Maruti SX4 S Cross DDiS 200 Zeta,Hyderabad,2016,82497,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.99,0.08087193185505859
3462,3462,Honda Accord VTi-L MT,Mumbai,2007,86000,Petrol,Manual,Third,11.9 kmpl,2354 CC,144 bhp,5.0,,1.85,0.02170849702320847
3463,3463,Volkswagen Polo Petrol Comfortline 1.2L,Coimbatore,2016,26981,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,6.16,0.0791533799022779
3464,3464,Maruti Ritz VDi,Hyderabad,2010,110471,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.5,0.031205561926976655
3465,3465,Honda Amaze S Petrol,Jaipur,2014,69000,Petrol,Manual,First,19.5 kmpl,1199 CC,88.76 bhp,5.0,7.52 Lakh,4.5,0.028029434996213243
3466,3466,Hyundai i20 1.2 Asta Option,Hyderabad,2017,12000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,7.75,0.06177723147204916
3467,3467,Renault Duster 85PS Diesel RxL,Hyderabad,2014,77500,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.6,0.020933136577866107
3468,3468,Hyundai Grand i10 Magna,Kochi,2014,48031,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.98,0.06089661847082421
3469,3469,BMW 3 Series 320d Highline,Chennai,2008,170000,Diesel,Automatic,Third,16.07 kmpl,1995 CC,181 bhp,5.0,,9.75,0.09823377052749764
3470,3470,Ford Ecosport 1.5 DV5 MT Trend,Mumbai,2014,69565,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.55,0.07534734125966237
3471,3471,Volkswagen Vento 1.5 TDI Highline AT,Hyderabad,2016,45492,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,15.68 Lakh,10.3,0.03342116701633489
3472,3472,Honda Accord 2.4 AT,Chennai,2011,85000,Petrol,Automatic,Second,11.7 kmpl,2354 CC,177.6 bhp,5.0,,7.5,0.07321891477746006
3473,3473,Chevrolet Aveo 1.4,Hyderabad,2008,55902,Petrol,Manual,First,14.49 kmpl,1399 CC,92.7 bhp,5.0,,1.8,0.0272543615487964
3474,3474,Volkswagen Polo 1.2 MPI Highline Plus,Hyderabad,2017,18500,Petrol,Manual,First,16.2 kmpl,1199 CC,74 bhp,5.0,,6.25,0.049429566166461894
3475,3475,Mahindra Xylo D4 BS III,Hyderabad,2015,129750,Diesel,Manual,Second,14.95 kmpl,2489 CC,93.7 bhp,7.0,,6.8,0.11833148191822691
3476,3476,Hyundai i10 Magna AT,Hyderabad,2009,50902,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,5.0,,3.0,0.08212747420385495
3477,3477,Mahindra XUV500 W8 4WD,Coimbatore,2015,84725,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,11.6,0.10452108362128253
3478,3478,Hyundai Elantra CRDi SX,Mumbai,2013,40000,Diesel,Manual,Second,22.7 kmpl,1582 CC,126.24 bhp,5.0,,6.95,0.08702919964215176
3479,3479,Volkswagen Passat 1.8 TSI MT,Mumbai,2010,60000,Petrol,Manual,Third,14.3 kmpl,1798 CC,160 bhp,5.0,,3.5,0.0339585341273864
3480,3480,Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,2014,33496,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.45 Lakh,5.5,0.08476906885310592
3481,3481,Hyundai i20 Asta Option 1.2,Mumbai,2015,25000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,5.65,0.08365441651611931
3482,3482,Chevrolet Enjoy TCDi LS 8 Seater,Ahmedabad,2013,71000,Diesel,Manual,First,18.2 kmpl,1248 CC,73.8 bhp,8.0,,3.25,0.05769803423227506
3483,3483,Skoda Rapid 1.6 MPI AT Ambition Plus Alloy,Coimbatore,2015,20826,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.6 bhp,5.0,,7.72,0.053065865535213065
3484,3484,Hyundai Creta 1.6 CRDi SX,Pune,2016,42244,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.0,0.06588923783067428
3485,3485,Chevrolet Beat Diesel PS,Jaipur,2013,98598,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,1.55,0.0396163565420537
3486,3486,Toyota Fortuner 3.0 Diesel,Delhi,2011,62100,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,10.75,0.016116686955402103
3487,3487,Hyundai i20 Sportz Option 1.2,Coimbatore,2016,44238,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.72,0.05935719306230628
3488,3488,Audi Q7 3.0 TDI quattro,Coimbatore,2012,91743,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,,28.55,0.06996076685557302
3489,3489,Porsche Panamera Diesel,Bangalore,2013,19828,Diesel,Automatic,Second,17.85 kmpl,2967 CC,300 bhp,4.0,,75.0,0.09434739121129022
3490,3490,Honda City i VTEC VX,Hyderabad,2016,36891,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,10.49,0.013393897167767163
3491,3491,Mahindra Quanto C4,Hyderabad,2012,90049,Diesel,Manual,First,17.21 kmpl,1493 CC,100 bhp,7.0,,3.8,0.0951692844073726
3492,3492,Audi A4 2.0 TDI Multitronic,Ahmedabad,2012,74002,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,,18.5,0.0443937993226697
3493,3493,Hyundai Sonata Transform 2.4 GDi AT,Kolkata,2013,41000,Petrol,Automatic,First,12.37 kmpl,2359 CC,198.25 bhp,5.0,,6.0,0.029416841530929834
3494,3494,Hyundai Verna 1.6 SX,Hyderabad,2012,83678,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.5,0.03099110128895278
3495,3495,Maruti Wagon R LXI BS IV,Pune,2010,91000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.3,0.10747948763939548
3496,3496,Maruti Ertiga SHVS ZDI Plus,Jaipur,2016,50000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,8.7,0.09256914364033889
3497,3497,Hyundai Xcent 1.1 CRDi S Option,Delhi,2015,58000,Diesel,Manual,First,24.4 kmpl,1120 CC,71.01 bhp,5.0,,4.95,0.024757076090486572
3498,3498,Maruti Swift VDI,Jaipur,2012,80000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25,0.034193186470479225
3499,3499,Mahindra XUV500 W6 2WD,Kochi,2017,41290,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,10.94,0.05846994571375974
3500,3500,BMW 5 Series 520d Luxury Line,Delhi,2013,65000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,67.87 Lakh,21.26,0.01250971791305985
3501,3501,Toyota Corolla Altis 1.8 G,Bangalore,2016,16471,Petrol,Manual,Second,14.28 kmpl,1798 CC,138.03 bhp,5.0,20.48 Lakh,11.5,0.03535363895218776
3502,3502,Hyundai i20 Asta 1.4 CRDi,Pune,2015,54339,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,,6.0,0.08396911235482947
3503,3503,Mahindra KUV 100 mFALCON G80 K2,Hyderabad,2016,24025,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,6.0,,4.1,0.017009160274149945
3504,3504,Maruti Alto 800 2016-2019 LXI,Kolkata,2013,24027,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,,2.01,0.05710481074322099
3505,3505,Fiat Punto EVO 1.2 Emotion,Hyderabad,2010,59270,Petrol,Manual,First,15.7 kmpl,1172 CC,67 bhp,5.0,,2.6,0.10521682244075177
3506,3506,Maruti Wagon R VXI BS IV,Kolkata,2012,40000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.35,0.06410554069509174
3507,3507,Mitsubishi Pajero 4X4 LHD,Bangalore,2012,155566,Diesel,Manual,Second,9.5 kmpl,2835 CC,118.6 bhp,6.0,,9.15,0.11676663940361837
3508,3508,Honda Brio EX MT,Chennai,2013,42320,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2.9,0.04960412102883022
3509,3509,Hyundai i20 Asta Option 1.4 CRDi,Coimbatore,2017,24153,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,,9.18,0.040628712929509696
3510,3510,Hyundai Creta 1.6 SX Plus Petrol Automatic,Mumbai,2016,27000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,,11.45,0.07502170774595829
3511,3511,Maruti Alto Green LXi (CNG),Hyderabad,2012,92000,CNG,Manual,Second,26.83 km/kg,796 CC,38.4 bhp,5.0,,2.1,0.06489112288445269
3512,3512,Honda Amaze S i-VTEC,Kochi,2017,61795,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,5.53,0.04109465514927295
3513,3513,Mahindra KUV 100 mFALCON G80 K6 Plus,Chennai,2016,13500,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,6.0,,3.75,0.08553395055898322
3514,3514,Honda City i-VTEC CVT VX,Pune,2018,4500,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,15.17 Lakh,12.5,0.005935552783268217
3515,3515,Mahindra XUV500 AT W10 FWD,Mumbai,2017,23000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,,15.5,0.08058841400507971
3516,3516,Hyundai Santro GLS I - Euro I,Pune,2011,65400,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,,2.1,0.11003410796208002
3517,3517,Mercedes-Benz New C-Class 220 CDI AT,Mumbai,2013,80578,Diesel,Automatic,Second,14.84 kmpl,2143 CC,170 bhp,5.0,,14.5,0.03135534275654575
3518,3518,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,42646,Diesel,Automatic,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,15.05 Lakh,12.46,0.07740035902054186
3519,3519,Volkswagen Polo 1.2 MPI Comfortline,Bangalore,2014,30000,Petrol,Manual,Second,16.47 kmpl,1198 CC,74 bhp,5.0,,5.25,0.0923879528719208
3520,3520,BMW 5 Series 520d Sedan,Delhi,2012,90000,Diesel,Automatic,First,18.48 kmpl,,,,,14.5,0.09272895270797907
3521,3521,Mercedes-Benz S Class 2005 2013 S 350 CDI,Bangalore,2009,98000,Diesel,Automatic,Second,13.5 kmpl,2987 CC,282 bhp,5.0,,25.0,0.02621585709447738
3522,3522,Hyundai Santro GLS II - Euro II,Kochi,2012,66400,Petrol,,First,0.0 kmpl,,,,,2.66,0.09450447621319054
3523,3523,Jaguar XJ 3.0L Premium Luxury,Hyderabad,2012,50000,Diesel,Automatic,First,12.9 kmpl,2993 CC,271.23 bhp,4.0,,45.0,0.008024330430627008
3524,3524,Maruti Swift VDI,Jaipur,2015,63310,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,8.13 Lakh,5.1,0.031696615071737204
3525,3525,Honda Amaze S i-Dtech,Delhi,2014,66000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5,0.10386252238800515
3526,3526,BMW 3 Series 320d Highline,Ahmedabad,2011,74000,Diesel,Automatic,Second,16.07 kmpl,1995 CC,181 bhp,5.0,,12.5,0.03977559557936945
3527,3527,Hyundai Verna 1.4 EX,Hyderabad,2012,93000,Diesel,Manual,First,23.5 kmpl,1396 CC,88.7 bhp,5.0,,5.55,0.01476575551873621
3528,3528,Toyota Fortuner 4x2 4 Speed AT,Delhi,2015,70000,Diesel,Automatic,First,11.5 kmpl,2982 CC,169 bhp,7.0,,19.48,0.039517441739549776
3529,3529,Maruti Swift VXI,Ahmedabad,2012,48772,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,3.91,0.08896054681534718
3530,3530,Chevrolet Beat LS,Chennai,2010,66000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,,2.19,0.10840774129750613
3531,3531,Hyundai Grand i10 Asta Option AT,Coimbatore,2017,27417,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,6.89,0.09252501067029335
3532,3532,Ford Figo Petrol ZXI,Coimbatore,2011,51593,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5.0,,3.47,0.07169715835883363
3533,3533,Nissan Teana 230jM,Mumbai,2008,86340,Petrol,Automatic,Second,9.1 kmpl,2349 CC,null bhp,5.0,,3.25,0.08432056295044704
3534,3534,Maruti Swift VXI BSIII,Pune,2010,75000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5.0,,2.85,0.05790749334583617
3535,3535,Audi A4 35 TDI Premium,Coimbatore,2016,39237,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,25.64,0.08712324677646908
3536,3536,Honda City V MT,Kochi,2018,11966,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,10.28,0.014077917142759758
3537,3537,Honda Jazz V,Hyderabad,2015,37000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.79 Lakh,6.3,0.09280803664122034
3538,3538,Volkswagen Polo 1.5 TDI Highline,Chennai,2014,70920,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,,4.75,0.08980015408600298
3539,3539,Nissan Terrano XL D Option,Hyderabad,2013,65280,Diesel,Manual,First,19.87 kmpl,1461 CC,83.14 bhp,5.0,14.72 Lakh,5.8,0.03868778468813464
3540,3540,Land Rover Discovery Sport SD4 HSE Luxury 7S,Hyderabad,2016,62000,Diesel,Automatic,First,12.51 kmpl,2179 CC,187.7 bhp,7.0,,44.5,0.1071165843886238
3541,3541,Hyundai i20 Magna Optional 1.2,Kochi,2014,44525,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,4.65,0.040216614871105574
3542,3542,Honda City 1.5 E MT,Jaipur,2009,86863,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,3.6,0.06285295301402613
3543,3543,Mahindra XUV500 W10 AWD,Hyderabad,2015,102626,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,12.25,0.10474679167997838
3544,3544,Jeep Compass 2.0 Limited Option 4X4,Jaipur,2017,45000,unknown,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,25.54 Lakh,20.0,0.013370088267719661
3545,3545,Mahindra XUV500 W10 AWD,Jaipur,2017,22000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,16.0,0.03269876308550493
3546,3546,Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,Coimbatore,2011,108905,Diesel,Automatic,Second,11.79 kmpl,2179 CC,120 bhp,8.0,,6.21,0.045680939505996734
3547,3547,Datsun GO Plus T,Kolkata,2016,12800,Petrol,Manual,First,19.44 kmpl,1198 CC,67 bhp,7.0,,3.25,0.08351495729400996
3548,3548,Mahindra Scorpio S6 Plus 7 Seater,Kolkata,2016,32000,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,,9.75,0.0880575755463264
3549,3549,Honda Amaze S AT i-Vtech,Mumbai,2014,39000,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5.0,,4.45,0.0362443824902849
3550,3550,Honda City i-DTEC ZX,Pune,2017,42000,Diesel,Manual,First,25.6 kmpl,1498 CC,98.6 bhp,5.0,16.84 Lakh,12.0,0.06431156254656263
3551,3551,Tata Indigo GLE,Chennai,2008,73000,Petrol,Manual,First,14.4 kmpl,1396 CC,65 bhp,5.0,,0.8,0.03989999801507603
3552,3552,Hyundai Grand i10 1.2 CRDi Sportz,Chennai,2018,48000,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5.0,8.28 Lakh,5.95,0.09175015820836939
3553,3553,Maruti Alto 800 2016-2019 CNG LXI,Pune,2015,18000,CNG,Manual,First,33.44 km/kg,796 CC,40.3 bhp,4.0,,3.0,0.039187217892672856
3554,3554,Hyundai Verna 1.4 CX VTVT,Kolkata,2014,19000,Petrol,Manual,First,17.43 kmpl,1396 CC,105.5 bhp,5.0,,5.25,0.05517248957149305
3555,3555,Toyota Innova Crysta 2.4 VX MT,Coimbatore,2019,33598,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,23.94 Lakh,22.2,0.06261697524267182
3556,3556,BMW X1 sDrive20d,Jaipur,2012,63000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,,13.5,0.09645562750392561
3557,3557,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Chennai,2015,48000,Diesel,Automatic,First,16.96 kmpl,1968 CC,138.03 bhp,5.0,,13.5,0.05602681045638815
3558,3558,Ford Figo Diesel ZXI,Delhi,2014,66000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,3.47,0.06346046774494231
3559,3559,Mahindra Ssangyong Rexton RX7,Ahmedabad,2013,80000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,9.5,0.09380940295449886
3560,3560,Volkswagen Vento Petrol Highline,Chennai,2011,37000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,4.8,0.032797391177328133
3561,3561,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Kochi,2016,35058,Petrol,Manual,First,15.0 kmpl,1598 CC,103.52 bhp,5.0,,6.54,0.10378362071029554
3562,3562,Volkswagen Polo Petrol Comfortline 1.2L,Delhi,2012,52000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,3.1,0.0704824054374637
3563,3563,Maruti S Cross DDiS 200 Delta,Hyderabad,2015,61313,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,5.0,,7.99,0.09117088918906471
3564,3564,Toyota Corolla Altis G,Kolkata,2009,45000,Petrol,Manual,Second,14.53 kmpl,1798 CC,138.1 bhp,5.0,,3.3,0.025778424830534868
3565,3565,Maruti Ertiga ZDI,Bangalore,2015,74000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,8.75,0.01680416252453866
3566,3566,Hyundai i10 Asta Sunroof AT,Hyderabad,2013,89000,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,5.0,,4.19,0.05135295190767197
3567,3567,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,13414,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,43.07 Lakh,30.77,0.07334784838369168
3568,3568,Honda City ZX VTEC,Jaipur,2006,95000,Petrol,Manual,Second,16.9 kmpl,1497 CC,100 bhp,5.0,,2.11,0.049165830225596625
3569,3569,Mahindra KUV 100 G80 K8,Jaipur,2018,15900,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,6.0,7.88 Lakh,6.25,0.011539179650878655
3570,3570,Toyota Fortuner 3.0 Diesel,Delhi,2011,151000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,11.4,0.08782903776028608
3571,3571,Honda City 1.5 V MT,Bangalore,2011,65000,unknown,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,5.2,0.03992209936395924
3572,3572,Audi A6 35 TDI Matrix,Coimbatore,2017,36824,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5.0,69.37 Lakh,39.84,0.025410012235778327
3573,3573,Ford Figo Diesel ZXI,Coimbatore,2013,65287,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,4.45,0.08470658230556058
3574,3574,Mercedes-Benz GLA Class 200 CDI,Kolkata,2014,52000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,19.5,0.028278626052056402
3575,3575,Chevrolet Aveo U-VA 1.2 LS,Hyderabad,2007,33000,unknown,Manual,First,15.26 kmpl,1150 CC,74.9 bhp,5.0,,1.75,0.06690118857124049
3576,3576,Ford Figo 2015-2019 1.5D Titanium MT,Hyderabad,2016,71000,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5.0,,5.1,0.06330957711399478
3577,3577,Hyundai Elantra CRDi SX AT,Delhi,2013,71000,Diesel,Automatic,First,22.7 kmpl,1582 CC,126.2 bhp,5.0,,6.8,0.031144058723955155
3578,3578,Maruti Baleno Zeta CVT,Kolkata,2016,20000,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,9.04 Lakh,5.74,0.0841705476657788
